Pointwise Variance X,Pointwise Variance Y,Pointwise Variance Z
26120.021250481015,147.34329474821746,39.60075546678749
26120.02123958425,99.07729509593445,41.07170129258402
26120.021217790854,31.184007188668158,48.21773534948418
26120.021206894202,11.556718933683232,42.94491527719606
26120.02118510097,0.9408538210083344,61.67335693499073
26120.021174204405,9.95227696331903,56.369104904472216
26120.021163307865,28.509937238061145,55.59375612164101
26120.021152411384,56.61383464523553,49.74764431820176
26120.0211306185,141.4603408568825,42.76526449283598
26120.021119722074,198.20294966135106,45.798658883123515
25769.086266904425,435.869663960554,46.20791658750001
25769.086256081016,349.41871585388094,60.96466389662747
25769.0862452576,272.51400487963906,69.91442702257858
25769.08623443424,205.15553103783208,70.79019109468517
25769.08622361088,147.3432943284585,79.09585913114778
25769.08621278759,99.07729475151228,82.5503018399677
25769.086201964332,60.35753230700005,96.05794690053993
25769.086191141087,31.18400699491973,103.2281515659046
25769.086180317878,11.556718815271662,91.93646524139368
25769.08616949469,1.475667768055061,127.27994022987319
25769.08615867156,0.9408538532704828,107.74014126661262
25769.086147848422,9.952277070918019,104.55935675880941
25769.08613702535,28.509937420997016,103.42534970571761
25769.086126202295,56.613834903508284,87.2999175338352
25769.08611537927,94.26396951845177,99.664024431187
25769.086104556292,141.46034126582907,72.77950890658965
25769.086093733335,198.20295014563428,65.99847467168578
25769.08608291041,264.4917961578716,63.2744564088667
25769.086072087535,340.326879302543,61.87515579275585
25420.524755040184,1011.3179603826092,30.490676364447964
25420.524744290036,877.1358266891139,36.525033391219615
25420.524733539925,752.4999301280518,47.85292159122794
25420.52472278985,637.4102706994202,67.92531826051574
25420.524712039805,531.866848403221,86.9843978525882
25420.524701289763,435.8696632394557,88.09295462006871
25420.524690539776,349.41871520811935,135.76731776578234
25420.524679789836,272.51400430921433,147.39428679665
25420.524669039914,205.15553054274432,152.4887193261441
25420.524658290014,147.34329390870755,203.94767496872376
25420.52464754016,99.07729440709817,200.92094344804437
25420.524636790316,60.357532037922766,230.42786771219895
25420.524626040547,31.184006801179336,256.26277775523926
25420.524615290757,11.556718696868108,240.9249108987391
25420.524604541028,1.47566772498837,281.1987488518081
25420.524593791328,0.9408538855406501,239.67548792228106
25420.524583041675,9.952277178525051,234.65854976171502
25420.524572292063,28.5099376039409,237.458343807974
25420.524550792874,94.26396985206941,209.70721369817764
25420.524540043334,141.46034167478348,161.55977583731567
25420.52452929383,198.20295062992554,149.06518174728916
25420.524518544382,264.49179671749937,123.72704519692356
25420.524507794933,340.32687993750795,108.37095614272536
25420.52449704551,425.70820028994854,92.12723360378065
25420.524486296126,520.6357577748205,71.24718444006685
25420.5244755468,625.109552392122,63.77485723316222
25420.524464797487,739.129584141859,56.89625286002965
25074.336661284262,1155.046330035427,55.896794375607584
25074.336650607518,1011.3179592848347,61.73534978509185
25074.33663993084,877.1358256666757,75.14490396267657
25074.336629254158,752.4999291809507,106.08224760547073
25074.336618577527,637.4102698276562,154.6628783698685
25074.336607900936,531.8668476067935,196.35733444206937
25074.336597224352,435.8696625183652,225.1108248123984
25074.336586547783,349.41871456236595,299.93216637772764
25074.33657587129,272.5140037387976,333.9992031254402
25074.336565194833,205.15553004766446,356.01842975952167
25074.336554518388,147.3432934889646,423.1028658211097
25074.336543841975,99.077294062692,445.0333587202392
25074.336533165588,60.35753176885351,482.4287129795593
25074.33652248927,31.184006607446946,470.11383394910064
25074.336511812922,11.556718578472587,482.9803902796079
25074.33650113666,1.4756676819297,506.8398542596055
25074.33649046039,0.9408539178188376,474.97072509520564
25074.336479784186,9.952277286140093,476.2199384039343
25074.33646910801,28.509937786892806,463.90204993121586
25074.33645843185,56.61383542007775,504.3960098011923
25074.336447755715,94.26397018569497,409.163786171146
25074.336437079644,141.46034208374593,368.8538019989885
25074.33642640359,198.20295111422504,326.8796900101539
25074.336415727554,264.49179727713573,276.2778093131397
25074.336405051563,340.3268805724812,252.90215691365617
25074.3363943756,425.7082010002585,193.75310017100827
25074.336383699683,520.6357585604673,156.52082048767838
25074.336373023776,625.1095532531056,119.0872289728656
25074.33636234793,739.129585078179,91.23359265082584
25074.336351672082,862.6958540356849,81.51882914922486
25074.336340996313,995.8083601256207,65.9163735500005
25074.336330320522,1138.4671033479904,57.74009992798726
24730.52205013744,1643.5088636826702,35.49657675844778
24730.522039534062,1471.1417816101234,46.38281392311932
24730.522028930714,1308.3209366700096,66.86911178271296
24730.52201832738,1155.0463288623223,98.75044759678107
24730.52200772409,1011.317958187067,136.48310018769087
24730.521997120843,877.1358246442467,194.3648514277708
24730.521986517633,752.4999282338568,271.1346585848724
24730.52197591444,637.4102689558996,341.98594495366456
24730.521965311298,531.8668468103743,406.364735853325
24730.521954708158,435.86966179728256,459.0171637419007
24730.521944105083,349.4187139166205,556.8671984819947
24730.52193350202,272.5140031683887,588.4431565311536
24730.521922898977,205.15552955259287,654.8058883511759
24730.521912295993,147.34329306922962,699.4829298839658
24730.521901693046,99.07729371829393,743.2550568196126
24730.52189109011,60.3575314997923,782.7959233485927
24730.52188048721,31.18400641372257,770.869789150038
24730.52186988433,11.556718460085081,855.7684061367924
24730.5218592815,1.475667638879049,815.0404523475568
24730.521848678698,0.9408539501050437,800.3794594042521
24730.52183807594,9.952277393763156,777.8951934936508
24730.521827473192,28.50993796985272,777.4111940760615
24730.521816870496,56.61383567837452,771.2501685282431
24730.52180626781,94.26397051932875,674.5147658502118
24730.52179566518,141.46034249271628,657.5612007724038
24730.52178506257,198.20295159853228,573.628220949836
24730.521774459972,264.4917978367799,516.5985142839712
24730.521763857454,340.32688120746207,458.46173118887964
24730.521753254918,425.70820171057653,386.79296637322216
24730.521742652443,520.635759346122,340.1499532857209
24730.52173205,625.1095541140976,267.79496487556133
24730.521721447585,739.1295860145077,192.85024293123237
24730.521710845198,862.6958550473511,165.22097579674033
24730.521700242844,995.8083612126223,117.21613560776953
24730.52168964054,1138.4671045103287,85.26333083309319
24730.521679038255,1290.6720849404694,67.65571482272145
24730.521668435977,1452.423302503035,50.27294067905437
24389.080879039426,1825.4221814132125,54.60580732440474
24389.08086850947,1643.508862283565,64.51566632341903
24389.080857979534,1471.1417802863548,98.10592457504468
24389.080847449626,1308.3209354215787,165.2008081816885
24389.080836919773,1155.046327689227,228.16104651628234
24389.080826389923,1011.317957089309,314.9746016241247
24389.080815860125,877.1358236218247,427.75886787198874
24389.080805330337,752.4999272867724,497.62700792625174
24389.08079480061,637.4102680841521,632.3157461266092
24389.0807842709,531.8668460139633,676.1074676433025
24389.080773741236,435.86966107620844,760.3854784690155
24389.080763211576,349.4187132708829,839.4201930857288
24389.080752681966,272.5140025979883,884.0800309900003
24389.080742152382,205.155529057529,963.6385307766299
24389.08073162284,147.3432926495027,1012.7414888407653
24389.08072109331,99.07729337390388,1061.0411197232931
24389.080710563845,60.357531230739085,1071.7455422888183
24389.080700034385,31.184006220006214,1095.1075089407088
24389.080689504983,11.556718341705594,1157.17109977523
24389.08067897558,1.475667595836418,1102.6476411946594
24389.080668446248,0.9408539823992692,1124.8203745023634
24389.08065791692,9.95227750139424,1116.287333654118
24389.08064738763,28.509938152820645,1086.8033376774072
24389.080636858354,56.61383593667929,1067.9498473181839
24389.08062632913,94.26397085297036,1003.1240408928305
24389.080615799936,141.4603429016948,990.9390947244327
24389.08060527078,198.20295208284753,878.0817298271913
24389.080594741656,264.4917983964322,815.6607029585359
24389.080584212566,340.3268818424512,778.1056499074548
24389.08057368351,425.70820242090247,662.9973705886474
24389.080563154468,520.6357601317851,623.3148497721523
24389.080552625455,625.1095549750972,472.78752765815796
24389.080542096508,739.1295869508439,397.347056234272
24389.08053156756,862.6958560590245,338.38807401142316
24389.080521038664,995.808362299633,246.80287643125192
24389.080510509793,1138.4671056726768,166.17924440596414
24389.080499980973,1290.6720861781534,121.6858154044435
24389.08048945212,1452.423303816055,81.11819380117969
24389.080478923355,1623.7207585863923,63.96458544532636
24389.080468394623,1804.564450489171,48.60560516803646
24050.01317980038,2217.887529444685,45.671364981711555
24050.01316934379,2016.8817361255146,69.84240742105058
24050.013158887243,1825.4221799387783,104.8067734424196
24050.013148430735,1643.5088608844667,157.2898691983365
24050.01313797425,1471.1417789625928,240.83325170313054
24050.013127517785,1308.3209341731542,374.6075439731602
24050.01311706136,1155.0463265161397,458.5415093107422
24050.013106605,1011.3179559915586,569.8314560486077
24050.01309614862,877.135822599411,696.5862836381646
24050.013085692295,752.4999263396957,824.5812920258988
24050.013075235976,637.4102672124116,919.2782011159824
24050.013064779734,531.8668452175605,950.3408559950393
24050.013054323506,435.86966035514206,1060.2233574964077
24050.013043867304,349.41871262515343,1129.7927047854462
24050.01303341116,272.5140020275956,1209.8910795670167
24050.013022955034,205.15552856247317,1290.0436417748008
24050.013012498926,147.34329222978366,1347.689593189806
24050.013002042877,99.07729302952185,1402.8048327268568
24050.012991586827,60.35753096169389,1390.195650385356
24050.012981130818,31.1840060262979,1426.002767488261
24050.012970674845,11.556718223334123,1474.651544670282
24050.012960218904,1.4756675528018042,1446.6124760121488
24050.012949763015,0.940854014701515,1458.1677383550393
24050.012939307133,9.952277609033356,1457.394171621803
24050.012928851298,28.509938335796615,1427.5954535819428
24050.012918395485,56.61383619499214,1381.139540465644
24050.012907939727,94.26397118661998,1342.413329525113
24050.012897483964,141.46034331068142,1284.8288085630943
24050.012887028253,198.20295256717105,1222.4732124898567
24050.012876572564,264.49179895609234,1119.234779504802
24050.012866116944,340.3268824774486,1082.5009296383478
24050.01285566131,425.7082031312364,993.9316019568694
24050.012845205718,520.6357609174556,905.35298670358
24050.012834750163,625.109555836105,767.1748018194581
24050.012824294645,739.129587887189,710.7175727904093
24050.012813839174,862.695857070705,593.0758100094589
24050.012803383725,995.8083633866518,463.5223237672318
24050.012792928286,1138.4671068350306,364.81912280937746
24050.0127824729,1290.6720874158443,277.0798293874574
24050.012772017548,1452.4233051290835,175.04473251877508
24050.012761562222,1623.720759974757,132.86286401350588
24050.012751106944,1804.564451952872,84.47951875729328
24050.012740651666,1994.954381063405,49.381404028995654
23713.3189314337,2428.4395581958443,71.02197536102308
23713.318921050544,2217.8875278195833,91.73334287192428
23713.318910667407,2016.8817345757514,147.1779968121482
23713.31890028431,1825.422178464351,251.9895148830232
23713.318889901235,1643.508859485376,364.33974713886914
23713.3188691352,1308.3209329247375,628.2044820491934
23713.318858752224,1155.0463253430598,710.3414688467933
23713.31884836927,1011.3179548938168,866.8235339470615
23713.31883798637,877.135821577005,974.4765786197945
23713.318827603507,752.4999253926266,1127.0271989266457
23713.31881722065,637.4102663406798,1210.7987369802793
23713.31880683785,531.8668444211647,1262.1276996668225
23713.318796455053,435.86965963408386,1431.7145032737947
23713.3187860723,349.4187119794319,1462.6648337035856
23713.318775689593,272.51400145721107,1582.8871104711427
23713.318765306918,205.15552806742537,1612.4529897873986
23713.318754924283,147.34329181007286,1658.5405448334293
23713.31874454164,99.07729268514778,1715.527110626526
23713.318734159056,60.35753069265675,1707.841822498985
23713.3187237765,31.184005832597567,1772.2950272480273
23713.318713393983,11.556718104970658,1765.0542571145377
23713.31870301148,1.4756675097752119,1771.834821754569
23713.31869262904,0.9408540470117794,1768.7919892649106
23713.318682246638,9.952277716680472,1757.4375634466828
23713.3186718642,28.509938518780622,1741.1089123040686
23713.31866148185,56.61383645331294,1666.3947958823237
23713.31865109952,94.26397152027772,1657.1599770569746
23713.318640717232,141.46034371967593,1589.889523651214
23713.318630334954,198.20295305150242,1539.927147563314
23713.318619952734,264.49179951576076,1437.0159003710812
23713.318609570513,340.3268831124534,1378.8966264437736
23713.318599188366,425.70820384157844,1325.1935986896356
23713.31858880622,520.6357617031344,1190.0902809220622
23713.31857842412,625.1095566971206,1087.120742292271
23713.318568042043,739.1295888235412,993.4914281839084
23713.318557660026,862.6958580823938,865.7161657890933
23713.318547278006,995.8083644736771,738.5352670716054
23713.31853689601,1138.4671079973948,638.5044934067353
23713.318526514104,1290.672088653545,497.16745047873155
23713.318516132185,1452.4233064421205,355.5524527992046
23713.318505750296,1623.7207613631304,276.9059895734902
23713.318495368447,1804.564453416583,188.56065186809926
23713.318484986656,1994.9543826024506,99.40084214161674
23713.31847460485,2194.8905489207596,68.02867753412858
23713.3184642231,2404.372952371493,54.68418187916577
23378.998134159694,2428.4395564954157,142.76893512404973
23378.998123849953,2217.887526194491,208.69805285326652
23378.998113540267,2016.8817330259956,328.8300112214924
23378.998103230602,1825.4221769899311,473.77261259158047
23378.998092921007,1643.5088580862944,597.6763863922997
23378.998082611408,1471.1417763150944,779.6634216427991
23378.99807230185,1308.3209316763289,914.8355087932507
23378.99806199231,1155.0463241699886,1035.4360294135647
23378.998051682822,1011.3179537960815,1146.8747821827462
23378.99804137337,877.1358205546079,1281.3486432164073
23378.99803106394,752.4999244455659,1491.9393541542422
23378.99802075455,637.4102654689556,1558.8413250108952
23378.99801044518,531.8668436247775,1645.645510983711
23378.998000135845,435.86965891303333,1737.8663316974958
23378.99798982653,349.41871133371853,1770.5304059673574
23378.997979517277,272.5140008868345,1889.6431170303176
23378.997969208038,205.15552757238572,1923.5118466551137
23378.997958898854,147.34329139037013,1964.9612121635694
23378.997948589687,99.07729234078187,1993.4936375918403
23378.99793828053,60.357530423627566,2020.8791734934791
23378.99792797142,31.184005638905273,2064.2461043483486
23378.997917662346,11.556717986615235,2065.2919163930383
23378.997907353292,1.4756674667566378,2087.736260209876
23378.997897044304,0.940854079330064,2110.4336112042297
23378.99788673533,9.952277824335614,2075.193477192482
