X,Y,Z
-64.73444389022637,13.606189242336255,0.8142184993238614
-64.73439920537393,14.004504078890221,0.7835786351333232
-64.30008473610116,5.639843682523182,0.6342083567223984
-64.30004005124871,6.038158519077149,0.6520818096388958
-64.29999536639627,6.43647335563106,0.7119672566732698
-64.29990599669138,7.233103028738881,0.598042644655667
-64.29986131183891,7.631417865292792,0.6468864622108343
-64.29981662698647,8.029732701846703,0.6952522146626271
-64.29977194213403,8.428047538400671,0.6923280715102987
-64.29972725728157,8.82636237495458,0.6828563356384063
-64.29968257242913,9.224677211508492,0.7830934557562655
-64.2996378875767,9.622992048062459,0.7097192244479209
-64.29959320272424,10.021306884616427,0.7349878001162129
-64.2995485178718,10.419621721170223,0.6658831400684886
-64.2994591481669,11.216251394278101,0.5806154222126744
-64.29941446331445,11.614566230832127,0.5958873812046118
-64.29932509360955,12.41119590393989,0.5559743956624256
-64.2992804087571,12.809510740493744,0.5514087357088433
-64.29923572390466,13.207825577047767,0.641252931898111
-64.29914635419976,14.004455250155646,0.5724285381394857
-64.29910166934732,14.4027700867095,0.709625488721951
-63.86550215771381,-0.33492769452022314,0.5243541850778488
-63.865457472861365,0.06338714203368744,0.5160935177629932
-63.86541278800892,0.4617019785876549,0.5438091183898347
-63.86536810315647,0.8600168151415654,0.5480159154443915
-63.86532341830402,1.258331651695476,0.6148713087645702
-63.86518936374668,2.4532761613572647,0.692076009660612
-63.86514467889423,2.851590997911175,0.689748574009753
-63.865099994041785,3.2499058344650855,0.6670982348548017
-63.8650106243369,4.046535507572964,0.6287109268194778
-63.86496593948444,4.444850344126874,0.5136210878347328
-63.864921254631994,4.843165180680785,0.4899041857509452
-63.864831884927106,5.639794853788606,0.5373607915038348
-63.86478720007466,6.038109690342574,0.4762428801183834
-63.864742515222204,6.436424526896484,0.4641648667224752
-63.864697830369764,6.834739363450395,0.4971492021477908
-63.864653145517316,7.233054200004306,0.4956708822225181
-63.86416161214039,11.61451740209755,0.4695301053580768
-63.86411692728795,12.012832238651402,0.593334720018281
-63.864072242435505,12.411147075205314,0.6815615878830921
-63.86402755758305,12.809461911759167,0.7625552535642199
-63.8639828727306,13.207776748313192,0.8064685656275274
-63.863938187878155,13.606091584867102,0.7696838704606285
-63.863893503025714,14.00440642142107,0.9887997080584509
-63.86384881817327,14.402721257974923,0.8678910279643471
-63.86380413332081,14.801036094528834,0.8233233114429028
-63.863759448468365,15.199350931082801,0.8459037125840286
-63.863714763615924,15.597665767636713,0.977807714569056
-63.86367007876348,15.995980604190565,0.93372798832475
-63.86362539391103,16.39429544074459,0.7969213637046927
-63.863580709058574,16.792610277298497,0.7993612570316245
-63.86353602420613,17.19092511385241,0.8681477932056575
-63.863491339353686,17.58923995040632,0.9290289743650364
-63.86344665450124,17.98755478696023,0.9046799034270608
-63.86340196964879,18.38586962351414,0.8932385725803342
-63.863357284796336,18.784184460068108,0.8351969724983194
-63.863312599943896,19.18249929662202,0.9075692723776226
-63.86326791509145,19.58081413317593,0.9391963263846876
-63.863223230239,19.97912896972984,1.1296139944387853
-63.86317854538655,20.37744380628375,1.2121016188470206
-63.430696155064126,-4.318124888794076,0.5781670150629475
-63.43065147021167,-3.9198100522401083,0.5716875246724417
-63.43060678535923,-3.5214952156861408,0.5373764609667901
-63.43056210050678,-3.1231803791322306,0.527889386164007
-63.430517415654336,-2.72486554257832,0.489218019888874
-63.43047273080189,-2.3265507060244093,0.5221358113298374
-63.43042804594944,-1.9282358694704986,0.4632570350920529
-63.429400294343154,7.233005371269728,0.4840688150330182
-63.42913218522847,9.622894390593306,0.789856485159424
-63.42908750037602,10.021209227147272,0.7854820567719338
-63.428998130671125,10.817838900255037,0.7434277627739987
-63.42890876096623,11.614468573362972,0.5996746201570373
-63.42886407611379,12.012783409916826,0.6821112767322111
-63.42881939126134,12.411098246470736,0.7212652330791762
-63.42877470640889,12.809413083024591,0.694714223223363
-63.428685336704,13.606042756132526,0.6428440611926969
-63.42864065185155,14.004357592686492,0.8595677592252343
-63.428595966999104,14.402672429240345,0.7995667300001577
-63.42855128214665,14.800987265794257,0.9709958295364952
-63.4285065972942,15.199302102348224,1.2136124121063323
-63.42846191244176,15.597616938902135,1.4067931492033428
-63.428417227589314,15.995931775455988,1.447542757968107
-63.42837254273687,16.39424661201001,1.4716991961663937
-63.42832785788441,16.792561448563923,1.3990905765174595
-63.42828317303197,17.190876285117834,1.4305419117812763
-63.428238488179524,17.589191121671746,1.4402621137250389
-63.428193803327076,17.987505958225654,1.4744805585179095
-63.42814911847463,18.385820794779566,1.3795554984880534
-63.42810443362218,18.784135631333534,1.3328490980367076
-63.42805974876973,19.182450467887442,1.2993251687360143
-63.428015063917286,19.580765304441353,1.3347704803341514
-63.42797037906484,19.979080140995265,1.2008803072839775
-63.42792569421239,20.377394977549177,1.0923738463336752
-63.42788100935995,20.77570981410314,1.105437053995537
-63.427836324507496,21.174024650657053,1.2299250059585327
-63.42779163965505,21.572339487210964,1.0670546474759908
-62.99656042520114,-14.276044631376644,0.8687689000000001
-62.996426370643796,-13.081100121714913,0.6405607111628219
-62.996381685791356,-12.682785285160945,0.5616965002118821
-62.99629231608645,-11.886155612053123,0.7214516843662305
-62.99620294638156,-11.089525938945302,0.8550180401704038
-62.99615826152912,-10.691211102391335,0.745487090334495
-62.994147443168984,7.232956542535152,0.5329174
-62.993968703759194,8.82621588875085,0.8475578368270098
-62.993924018906746,9.224530725304762,0.690293477824175
-62.9938793340543,9.622845561858728,0.7237274934261282
-62.99383464920186,10.021160398412697,0.7850270653331987
-62.9937899643494,10.419475234966493,0.793518478680081
-62.993745279496956,10.817790071520461,1.040827794021915
-62.99370059464451,11.21610490807437,0.91461352725987
-62.99365590979207,11.614419744628396,0.9213871389857342
-62.99361122493962,12.012734581182249,0.9905963081565956
-62.99356654008717,12.41104941773616,1.0413456726741626
-62.99352185523472,12.809364254290013,1.1120982046369898
-62.99347717038227,13.207679090844037,1.1547976144843506
-62.99343248552983,13.605993927397948,1.2459213674061569
-62.99338780067738,14.004308763951915,1.2105766862376726
-62.993343115824935,14.40262360050577,1.2257733260277486
-62.99325374612004,15.199253273613648,1.278923434980327
-62.99320906126759,15.597568110167558,1.2229643312828122
-62.993164376415145,15.995882946721412,1.3024414062648089
-62.9931196915627,16.394197783275438,1.4157918216960368
-62.99307500671024,16.79251261982935,1.4340762355530778
-62.992985637005354,17.58914229293717,1.4156356822143272
-62.99294095215291,17.98745712949108,1.3818794561437897
-62.99289626730046,18.38577196604499,1.352826564866083
-62.99285158244801,18.784086802598956,1.4270228016604247
-62.992806897595564,19.182401639152868,1.4361854162321055
-62.992762212743116,19.58071647570678,1.4343666740160117
-62.99271752789067,19.97903131226069,1.3889602261944418
-62.99267284303823,20.3773461488146,1.3217059552359194
-62.99262815818578,20.775660985368567,1.224931034505159
-62.561799107404006,-18.657556662204406,0.791210392001276
-62.56175442255156,-18.25924182565044,0.7774747736848723
-62.56170973769912,-17.86092698909653,0.7576778609274268
-62.56166505284667,-17.46261215254262,0.8247189003464389
-62.56162036799422,-17.064297315988707,0.7577979739205661
-62.56157568314177,-16.6659824794348,0.7468739068492763
-62.56153099828933,-16.26766764288083,0.7908151251351263
-62.56148631343688,-15.869352806326921,0.6406972017500532
-62.56144162858443,-15.47103796977301,0.5600955585905588
-62.561396943731985,-15.0727231332191,0.6071790165379938
-62.561352258879545,-14.674408296665131,0.5491157081930191
-62.561218204322195,-13.4794637870034,0.5972773212406829
-62.559073331404726,5.6396483675848765,0.6746249825087662
-62.55902864655228,6.037963204138844,0.7873145017440039
-62.55898396169983,6.436278040692755,0.8118757295832864
-62.55893927684738,6.834592877246665,0.9193538425460778
-62.558894591994935,7.232907713800576,0.9421252299918328
-62.55884990714249,7.631222550354487,0.7972596440626584
-62.55880522229005,8.029537386908396,0.7147039204141457
-62.55876053743759,8.427852223462363,0.9438038718131176
-62.558715852585145,8.826167060016274,0.990438228927011
-62.5586711677327,9.224481896570184,1.0582226075043957
-62.55862648288025,9.622796733124153,1.139751267078256
-62.55858179802781,10.02111156967812,1.126706221023819
-62.558537113175355,10.419426406231917,1.230517232413425
-62.55849242832291,10.817741242785884,0.9807841683886692
-62.55844774347046,11.216056079339795,1.1898693535842688
-62.55840305861802,11.614370915893819,1.2922969062338865
-62.55835837376557,12.012685752447672,1.348240647220606
-62.558313688913124,12.411000589001583,1.5278258540504548
-62.55826900406067,12.809315425555436,1.5806572928604825
-62.55822431920823,13.207630262109461,1.5044212922658438
-62.55817963435578,13.605945098663371,1.5464667939258814
-62.558134949503334,14.00425993521734,1.569998754568496
-62.558090264650886,14.402574771771192,1.538053871599145
-62.55804557979843,14.800889608325104,1.5841482166116236
-62.55795621009354,15.597519281432982,1.5650292642210153
-62.557911525241096,15.995834117986835,1.462014075877225
-62.55786684038865,16.39414895454086,1.5506391265258364
-62.5578221555362,16.792463791094768,1.549344377394704
-62.55777747068375,17.19077862764868,1.542170467705014
-62.557732785831305,17.58909346420259,1.5205503177719206
-62.55768810097886,17.987408300756503,1.5029699782670072
-62.55764341612642,18.38572313731041,1.4635996855492146
-62.55759873127396,18.78403797386438,1.4988499497761243
-62.557554046421515,19.18235281041829,1.526018627964156
-62.55750936156907,19.580667646972202,1.394343878535166
-62.55746467671662,19.97898248352611,1.441056619904585
-62.55741999186418,20.37729732008002,1.3009947906070491
-62.55733062215928,21.173926993187898,1.2642712452084397
-62.55728593730683,21.57224182974181,0.895021289930932
-62.12712715931166,-23.835698366139933,0.7572342831296084
-62.127037789606774,-23.039068693032114,0.7097193205875016
-62.12699310475432,-22.640753856478202,0.7698956479663199
-62.126903735049424,-21.844124183370326,0.7255110686606089
-62.126859050196984,-21.445809346816414,0.6942042617652494
-62.126814365344536,-21.047494510262503,0.5972628813444818
-62.12676968049208,-20.64917967370859,0.6485182881348328
-62.126680310787194,-19.852550000600715,0.6859339061771824
-62.124535437869724,-0.7334378460124398,0.5010592187644924
-62.12449075301728,-0.3351230094585293,0.4934345797854476
-62.12444606816482,0.06319182709538132,0.4539988506725289
-62.124401383312374,0.4615066636493488,0.5211293145300068
-62.124222643902584,2.0547660098650478,0.4698218367397897
-62.12417795905014,2.4530808464189584,0.5090478571406973
-62.124133274197696,2.851395682972869,0.5842541903880138
-62.12408858934525,3.2497105195267797,0.7682336112903769
-62.12399921964035,4.046340192634657,0.8095820786926551
-62.123954534787906,4.444655029188568,0.887750890974927
-62.12390984993546,4.842969865742479,0.8351183826919398
-62.12386516508301,5.241284702296389,0.7848486736768635
-62.12382048023056,5.6395995388503,0.7861501138892929
-62.12377579537812,6.0379143754042675,0.6877997428996704
-62.12373111052567,6.436229211958178,0.6603377075326851
-62.12368642567322,6.834544048512089,0.7702832670808306
-62.12364174082077,7.232858885065999,1.0250893648806865
-62.123597055968325,7.631173721619909,0.942259992425371
-62.123552371115885,8.02948855817382,1.0072317329479863
-62.12350768626343,8.427803394727789,1.1803156104600947
